"Source:","/Users/mershov/Desktop/HPS_2022/personal_clock/clock_design/clock_design.kicad_sch"
"","","SW1","Omron_B3F_SPST","HPS:Omron_B3F_SPST","footprints:SW_SPST_Omron_B3FS-100xP","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","","SW423CT-ND","Omron Electronics Inc-EMC Div","B3FS-1000P","N/A","","",""
"","","SW2","Omron_B3F_SPST","HPS:Omron_B3F_SPST","footprints:SW_SPST_Omron_B3FS-100xP","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","","SW423CT-ND","Omron Electronics Inc-EMC Div","B3FS-1000P","N/A","","",""
"","","SW3","Omron_B3F_SPST","HPS:Omron_B3F_SPST","footprints:SW_SPST_Omron_B3FS-100xP","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","","SW423CT-ND","Omron Electronics Inc-EMC Div","B3FS-1000P","N/A","","",""
"","","SW4","Omron_B3F_SPST","HPS:Omron_B3F_SPST","footprints:SW_SPST_Omron_B3FS-100xP","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","","SW423CT-ND","Omron Electronics Inc-EMC Div","B3FS-1000P","N/A","","",""
"","","SW5","Omron_B3F_SPST","HPS:Omron_B3F_SPST","footprints:SW_SPST_Omron_B3FS-100xP","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","","SW423CT-ND","Omron Electronics Inc-EMC Div","B3FS-1000P","N/A","","",""
"","","TP1","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP2","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP3","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP4","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP5","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP6","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP7","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP8","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP9","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP10","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP11","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP12","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP13","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP14","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP15","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP16","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP17","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP18","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP19","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP20","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP21","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP22","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP23","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP24","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","TP25","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"","","U1","ATmega328-PU","HPS:ATmega328-PU","footprints:DIP-28_W7.62mm","http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en608326","","ED3050-5-ND","On Shore Technology Inc.","ED281DT","N/A","","",""
"","","U2","L7805","HPS:L7805","footprints:TO-252-2","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","","","","","","","",""
"","","U3","DS1307_DIP-8","HPS:DS1307_DIP-8","footprints:DIP-8_W7.62mm","https://datasheets.maximintegrated.com/en/ds/DS1307.pdf","","AE9986-ND","Assmann WSW Components","A 08-LC-TT","N/A","","",""
"","","U4","MAX7219","HPS:MAX7219","footprints:DIP-24_W7.62mm","https://datasheets.maximintegrated.com/en/ds/MAX7219-MAX7221.pdf","","ED3049-5-ND","On Shore Technology Inc.","ED241DT","N/A","","",""
"","","U5","MAX7219","HPS:MAX7219","footprints:DIP-24_W7.62mm","https://datasheets.maximintegrated.com/en/ds/MAX7219-MAX7221.pdf","","ED3049-5-ND","On Shore Technology Inc.","ED241DT","N/A","","",""
"","","U6","SC56-11EWA","HPS:SC56-11EWA","footprints:Sx56-1xxxxx","http://www.kingbrightusa.com/images/catalog/SPEC/sc56-11ewa.pdf","","754-1465-5-ND","","","","","",""
"","","U7","SC56-11EWA","HPS:SC56-11EWA","footprints:Sx56-1xxxxx","http://www.kingbrightusa.com/images/catalog/SPEC/sc56-11ewa.pdf","","754-1465-5-ND","","","","","",""
"","","U8","SC56-11EWA","HPS:SC56-11EWA","footprints:Sx56-1xxxxx","http://www.kingbrightusa.com/images/catalog/SPEC/sc56-11ewa.pdf","","754-1465-5-ND","","","","","",""
"","","U9","SC56-11EWA","HPS:SC56-11EWA","footprints:Sx56-1xxxxx","http://www.kingbrightusa.com/images/catalog/SPEC/sc56-11ewa.pdf","","754-1465-5-ND","","","","","",""
"","","Y1","Crystal_16MHz","HPS:Crystal_16MHz","footprints:Crystal_SMD_HC49-SD","https://ecsxtal.com/store/pdf/csm-7x-dn.pdf","","XC1299CT-ND","ECS Inc.","ECS-160-20-5PXDN-TR","N/A","","",""
"","","Y2","Crystal_32768Hz","HPS:Crystal_32768Hz","footprints:Crystal_SMD_2Pin_3.2x1.5mm","https://www.jauch.com/downloadfile/57fde22d50dbf_d3c203011c87952f2834/jtx310-auto-2-210512.pdf","","1908-1314-1-ND","Jauch Quartz","Q 0,032768-JTX310-12,5-20-T1-HMR-50K-LF","N/A","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Dielectric","Digikey PN","MFG","MPN","Mouser PN","Power","Tolerance","Voltage"
"1","1","BT1","Battery_Cell","HPS:Battery_Cell","footprints:BatteryHolder_Keystone_106_1x20mm","https://media.digikey.com/pdf/Data%20Sheets/Memory%20Protection%20PDFs/Coin_Cell_Guide.pdf","","BS-7-ND","MPD (Memory Protection Devices)","BS-7","N/A","","",""
"2","7","C1, C2, C8, C9, C11, C12, C13","C_0805_0.1uf","HPS:C_0805_0.1uf","footprints:C_0805_2012Metric","https://datasheets.avx.com/X7RDielectric.pdf","N/A","478-1395-1-ND","AVX Corporation","08055C104KAT2A","N/A","","N/A","N/A"
"3","7","C3, C5, C10, C16, C17, C19, C20","C_0805_1uf","HPS:C_0805_1uf","footprints:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","N/A","311-1456-1-ND","Yageo","CC0805KKX7R8BB105","N/A","","N/A","N/A"
"4","6","C4, C22, C23, C24, C25, C26","C_0805_10uf","HPS:C_0805_10uf","footprints:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR61E106KA73-01.pdf","N/A","490-5523-1-ND","Murata Electronics","GRM21BR61E106KA73L","N/A","","N/A","N/A"
"5","2","C6, C7","C_0805_22pf","HPS:C_0805_22pf","footprints:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf","N/A","311-1103-1-ND","Yageo","CC0805JRNPO9BN220","N/A","","N/A","N/A"
"6","1","D1","LED_0805","HPS:LED_0805","footprints:LED_0805_2012Metric","https://www.we-online.de/katalog/datasheet/150080RS75000.pdf","","732-4984-1-ND","Würth Elektronik","150080RS75000","N/A","","",""
"7","1","D2","LED_0805_GRN","HPS:LED_0805_GRN","footprints:LED_0805_2012Metric","https://www.we-online.com/katalog/datasheet/150080VS75000.pdf","","732-4986-1-ND","Würth Elektronik","150080VS75000","N/A","","",""
"8","1","D3","KWM-30881CVB","HPS:KWM-30881CVB","footprints:KWM-30881CVB","https://cdn-shop.adafruit.com/datasheets/KWM-30881XVB.pdf","","N/A","Adafruit","KWM-30881CVB","N/A","","",""
"9","8","H1, H2, H3, H4, H5, H6, H7, H8","MountingHole","HPS:MountingHole","footprints:MountingHole_3.2mm_M3","~","","","","","","","",""
"10","1","J1","Power_inlet_vertical","HPS:Power_inlet_vertical","footprints:Wurth-694106402002","https://www.we-online.com/katalog/datasheet/6941xx402002.pdf","","732-5931-ND","Wurth","694106402002","","","",""
"11","1","J2","Conn_01x06","HPS:Conn_01x06","footprints:PinHeader_1x06_P2.54mm_Vertical","https://www.we-online.de/katalog/datasheet/6130xx11121.pdf","","732-5319-ND","Würth Elektronik","61300611121","N/A","","",""
"12","2","J3, J4","Conn_01x03","HPS:Conn_01x03","footprints:PinHeader_1x03_P2.54mm_Vertical","https://www.we-online.de/katalog/datasheet/6130xx11121.pdf","","732-5316-ND","Würth Elektronik","61300311121","N/A","","",""
"13","1","J5","Conn_02x03_Odd_Even","HPS:Conn_02x03_Odd_Even","footprints:PinHeader_2x03_P2.54mm_Vertical","https://drawings-pdf.s3.amazonaws.com/11636.pdf","","S2011EC-03-ND","Sullins Connector Solutions","PRPC003DAAN-RC","N/A","","",""
"14","2","R2, R4","R_0805_2.2K","HPS:R_0805_2.2K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-072K2L/727676","","311-2.20KCRCT-ND","N/A","N/A","N/A","N/A","N/A",""
"15","8","R5, R11, R12, R13, R14, R15, R20, R21","R_0805_10K","HPS:R_0805_10K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535","","311-10.0KCRCT-ND","Yageo","RC0805FR-0710KL","N/A","N/A","N/A",""
"16","1","R6","PhotoconductivePhotocell","HPS:PhotoconductivePhotocell","footprints:R_LDR_4.9x4.2mm_P2.54mm_Vertical","https://media.digikey.com/pdf/Data%20Sheets/Photonic%20Detetectors%20Inc%20PDFs/PDV-P8103.pdf","N/A","PDV-P8103-ND","Advanced Photonix","PDV-P8103","N/A","","N/A","N/A"
"17","4","R7, R8, R22, R23","R_0805_47","HPS:R_0805_47","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0747RL/727972","","RC0805FR-0747RL ","Yageo","RC0805FR-0747RL ","N/A","N/A","N/A",""
"18","2","R9, R10","R_0805_4.7K","HPS:R_0805_4.7K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-074K7L/727929","","311-4.70KCRCT-ND","Yageo","RC0805FR-074K7L","N/A","N/A","N/A",""
"19","2","R16, R18","R_0805_22K","HPS:R_0805_22K","footprints:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0722KL/727736","","311-22.0KCRCT-ND","Yageo","RC0805FR-0722KL","N/A","N/A","N/A",""
"20","5","SW1, SW2, SW3, SW4, SW5","Omron_B3F_SPST","HPS:Omron_B3F_SPST","footprints:SW_SPST_Omron_B3FS-100xP","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","","SW423CT-ND","Omron Electronics Inc-EMC Div","B3FS-1000P","N/A","","",""
"21","25","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25","TestPoint","HPS:TestPoint","footprints:TestPoint_THTPad_D2.0mm_Drill1.0mm","~","","","","","","","",""
"22","1","U1","ATmega328-PU","HPS:ATmega328-PU","footprints:DIP-28_W7.62mm","http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en608326","","ED3050-5-ND","On Shore Technology Inc.","ED281DT","N/A","","",""
"23","1","U2","L7805","HPS:L7805","footprints:TO-252-2","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","","","","","","","",""
"24","1","U3","DS1307_DIP-8","HPS:DS1307_DIP-8","footprints:DIP-8_W7.62mm","https://datasheets.maximintegrated.com/en/ds/DS1307.pdf","","AE9986-ND","Assmann WSW Components","A 08-LC-TT","N/A","","",""
"25","2","U4, U5","MAX7219","HPS:MAX7219","footprints:DIP-24_W7.62mm","https://datasheets.maximintegrated.com/en/ds/MAX7219-MAX7221.pdf","","ED3049-5-ND","On Shore Technology Inc.","ED241DT","N/A","","",""
"26","4","U6, U7, U8, U9","SC56-11EWA","HPS:SC56-11EWA","footprints:Sx56-1xxxxx","http://www.kingbrightusa.com/images/catalog/SPEC/sc56-11ewa.pdf","","754-1465-5-ND","","","","","",""
"27","1","Y1","Crystal_16MHz","HPS:Crystal_16MHz","footprints:Crystal_SMD_HC49-SD","https://ecsxtal.com/store/pdf/csm-7x-dn.pdf","","XC1299CT-ND","ECS Inc.","ECS-160-20-5PXDN-TR","N/A","","",""
"28","1","Y2","Crystal_32768Hz","HPS:Crystal_32768Hz","footprints:Crystal_SMD_2Pin_3.2x1.5mm","https://www.jauch.com/downloadfile/57fde22d50dbf_d3c203011c87952f2834/jtx310-auto-2-210512.pdf","","1908-1314-1-ND","Jauch Quartz","Q 0,032768-JTX310-12,5-20-T1-HMR-50K-LF","N/A","","",""
